datestamp (bins),pricexvolume
2018-02-19,210212
2018-02-20,217047
2018-02-21,216944
2018-02-22,219946
2018-02-23,240325
2018-02-24,250893
2018-02-25,226033
2018-02-26,243536
2018-02-27,204303
2018-02-28,226951
2018-03-01,160767
2018-03-02,242639
2018-03-03,273887
2018-03-04,242105
2018-03-05,257065
2018-03-06,259027
2018-03-07,249263
2018-03-08,271901
2018-03-09,202194
2018-03-10,240877
2018-03-11,227291
2018-03-12,227256
2018-03-13,230313
2018-03-14,226018
2018-03-15,196452
2018-03-16,177757
2018-03-17,167236
2018-03-18,189353
2018-03-19,187527
2018-03-20,168717
2018-03-21,180714
2018-03-22,161180
2018-03-24,181531
2018-03-25,160643
2018-03-26,31421
2018-03-27,186565
2018-03-28,224371
2018-03-29,246425
2018-03-30,268444
2018-03-31,268072
2018-04-01,265314
2018-04-02,248009
2018-04-03,219645
2018-04-04,211750
2018-04-05,201627
2018-04-06,173371
2018-04-07,191355
2018-04-08,85514
2018-04-09,190164
2018-04-10,230517
2018-04-11,210604
2018-04-12,222590
2018-04-13,211235
2018-04-14,233151
2018-04-15,241276
2018-04-16,124513
2018-04-17,121910
2018-04-18,141937
2018-04-19,162536
2018-04-20,188416
2018-04-21,203414
2018-04-22,221160
2018-04-23,194439
2018-04-24,228933
2018-04-25,212369
2018-04-26,251518
2018-04-27,240844
2018-04-28,242188
2018-04-29,237745
2018-04-30,219860
2018-05-01,224276
2018-05-02,233707
2018-05-03,124700
2018-05-04,96859
2018-05-05,185011
2018-05-06,205590
2018-05-07,213745
2018-05-08,220646
2018-05-09,211655
2018-05-10,231807
2018-05-11,269285
2018-05-12,272481
2018-05-13,237999
2018-05-14,244672
2018-05-15,198422
2018-05-16,196183
2018-05-17,250858
2018-05-18,238767
2018-05-19,261904
2018-05-20,259782
2018-05-21,249797
2018-05-22,259315
2018-05-23,250702
2018-05-24,216280
2018-05-25,232903
2018-05-26,207808
2018-05-27,235094
2018-05-28,202743
2018-05-29,206984
2018-05-30,234235
2018-05-31,222666
2018-06-01,228403
2018-06-02,236088
2018-06-03,239415
2018-06-04,244286
2018-06-05,271366
2018-06-06,280194
2018-06-07,263063
2018-06-08,264466
2018-06-09,281020
2018-06-10,239488
2018-06-11,199259
2018-06-12,196214
2018-06-13,178785
2018-06-14,198036
2018-06-15,179936
2018-06-16,207821
2018-06-17,221167
2018-06-18,181086
2018-06-19,194529
2018-06-20,202741
2018-06-21,168449
2018-06-22,208493
2018-06-23,224884
2018-06-24,209464
2018-06-25,245585
2018-06-26,246177
2018-06-27,231015
2018-06-28,250351
2018-06-29,238679
2018-06-30,224380
2018-07-01,260914
2018-07-02,225536
2018-07-03,212133
2018-07-04,222356
2018-07-05,161567
2018-07-06,136493
2018-07-07,179626
2018-07-08,177338
2018-07-09,195715
2018-07-10,222493
2018-07-11,217519
2018-07-12,239855
2018-07-13,265969
2018-07-14,262063
2018-07-15,287255
2018-07-16,280525
2018-07-17,239444
2018-07-18,264955
2018-07-19,266621
2018-07-20,293560
2018-07-21,280026
2018-07-22,272889
2018-07-23,300003
2018-07-24,240233
2018-07-25,199398
2018-07-26,229547
2018-07-27,245498
2018-07-28,287291
2018-07-29,244069
2018-07-30,258986
2018-07-31,281741
2018-08-01,285751
2018-08-02,303176
2018-08-03,172856
2018-08-04,202601
2018-08-05,229835
